fiscal_year,month,type_name,remitter_bank,category,value,units,notes
2026-27,Jul,Mandate Execution,HDFC Bank,Total Volume,121.648165,value in millions,
2026-27,Jul,Mandate Execution,HDFC Bank,Approved,37.63,value in percentage,
2026-27,Jul,Mandate Execution,HDFC Bank,BD,62.18,value in percentage,
2026-27,Jul,Mandate Execution,HDFC Bank,TD,0.19,value in percentage,
2026-27,Jul,Mandate Execution,Canara Bank,Total Volume,105.905658,value in millions,
2026-27,Jul,Mandate Execution,Canara Bank,Approved,27.1,value in percentage,
2026-27,Jul,Mandate Execution,Canara Bank,BD,71.56,value in percentage,
2026-27,Jul,Mandate Execution,Canara Bank,TD,1.34,value in percentage,
2026-27,Jul,Mandate Execution,Indian Bank,Total Volume,86.508289,value in millions,
2026-27,Jul,Mandate Execution,Indian Bank,Approved,19.9,value in percentage,
2026-27,Jul,Mandate Execution,Indian Bank,BD,79.85,value in percentage,
2026-27,Jul,Mandate Execution,Indian Bank,TD,0.25,value in percentage,
2026-27,Jul,Mandate Execution,Axis Bank,Total Volume,72.641211,value in millions,
2026-27,Jul,Mandate Execution,Axis Bank,Approved,31.25,value in percentage,
2026-27,Jul,Mandate Execution,Axis Bank,BD,68.74,value in percentage,
2026-27,Jul,Mandate Execution,Axis Bank,TD,0.01,value in percentage,
2026-27,Jul,Mandate Execution,Bank Of India,Total Volume,68.969652,value in millions,
2026-27,Jul,Mandate Execution,Bank Of India,Approved,26.31,value in percentage,
2026-27,Jul,Mandate Execution,Bank Of India,BD,72.84,value in percentage,
2026-27,Jul,Mandate Execution,Bank Of India,TD,0.85,value in percentage,
2026-27,Jul,Mandate Execution,Fino Payments Bank,Total Volume,58.734704,value in millions,
2026-27,Jul,Mandate Execution,Fino Payments Bank,Approved,6.98,value in percentage,
2026-27,Jul,Mandate Execution,Fino Payments Bank,BD,92.59,value in percentage,
2026-27,Jul,Mandate Execution,Fino Payments Bank,TD,0.43,value in percentage,
2026-27,Jul,Mandate Execution,Central Bank of India,Total Volume,50.05759,value in millions,
2026-27,Jul,Mandate Execution,Central Bank of India,Approved,19.58,value in percentage,
2026-27,Jul,Mandate Execution,Central Bank of India,BD,75.31,value in percentage,
2026-27,Jul,Mandate Execution,Central Bank of India,TD,5.11,value in percentage,
2026-27,Jul,Mandate Execution,ICICI Bank,Total Volume,42.650301,value in millions,
2026-27,Jul,Mandate Execution,ICICI Bank,Approved,48.32,value in percentage,
2026-27,Jul,Mandate Execution,ICICI Bank,BD,51.34,value in percentage,
2026-27,Jul,Mandate Execution,ICICI Bank,TD,0.34,value in percentage,
2026-27,Jul,Mandate Execution,UCO Bank,Total Volume,38.845803,value in millions,
2026-27,Jul,Mandate Execution,UCO Bank,Approved,19.54,value in percentage,
2026-27,Jul,Mandate Execution,UCO Bank,BD,79.61,value in percentage,
2026-27,Jul,Mandate Execution,UCO Bank,TD,0.85,value in percentage,
2026-27,Jul,Mandate Execution,Indian Overseas Bank,Total Volume,38.83207,value in millions,
2026-27,Jul,Mandate Execution,Indian Overseas Bank,Approved,21.43,value in percentage,
2026-27,Jul,Mandate Execution,Indian Overseas Bank,BD,78.26,value in percentage,
2026-27,Jul,Mandate Execution,Indian Overseas Bank,TD,0.31,value in percentage,
2026-27,Jul,Mandate Execution,IndusInd Bank,Total Volume,37.518559,value in millions,
2026-27,Jul,Mandate Execution,IndusInd Bank,Approved,18.92,value in percentage,
2026-27,Jul,Mandate Execution,IndusInd Bank,BD,80.34,value in percentage,
2026-27,Jul,Mandate Execution,IndusInd Bank,TD,0.74,value in percentage,
2026-27,Jul,Mandate Execution,Federal Bank,Total Volume,28.074876,value in millions,
2026-27,Jul,Mandate Execution,Federal Bank,Approved,22.31,value in percentage,
2026-27,Jul,Mandate Execution,Federal Bank,BD,77.36,value in percentage,
2026-27,Jul,Mandate Execution,Federal Bank,TD,0.33,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Maharashtra,Total Volume,22.709963,value in millions,
2026-27,Jul,Mandate Execution,Bank of Maharashtra,Approved,25.28,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Maharashtra,BD,74.66,value in percentage,
2026-27,Jul,Mandate Execution,Bank of Maharashtra,TD,0.06,value in percentage,
2026-27,Jul,Mandate Execution,IDBI Bank,Total Volume,21.946525,value in millions,
2026-27,Jul,Mandate Execution,IDBI Bank,Approved,27.55,value in percentage,
2026-27,Jul,Mandate Execution,IDBI Bank,BD,69.97,value in percentage,
2026-27,Jul,Mandate Execution,IDBI Bank,TD,2.48,value in percentage,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,Total Volume,16.943001,value in millions,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,Approved,5.7,value in percentage,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,BD,93.22,value in percentage,
2026-27,Jul,Mandate Execution,NSDL Payments Bank,TD,1.09,value in percentage,
2026-27,Jul,Mandate Execution,Karnataka Bank,Total Volume,16.660753,value in millions,
2026-27,Jul,Mandate Execution,Karnataka Bank,Approved,28.69,value in percentage,
2026-27,Jul,Mandate Execution,Karnataka Bank,BD,70.35,value in percentage,
2026-27,Jul,Mandate Execution,Karnataka Bank,TD,0.96,value in percentage,
2026-27,Jul,Mandate Execution,Jio Payments Bank,Total Volume,16.044358,value in millions,
2026-27,Jul,Mandate Execution,Jio Payments Bank,Approved,8.49,value in percentage,
2026-27,Jul,Mandate Execution,Jio Payments Bank,BD,91.29,value in percentage,
2026-27,Jul,Mandate Execution,Jio Payments Bank,TD,0.21,value in percentage,
2026-27,Jul,Mandate Execution,IDFC First Bank,Total Volume,13.073876,value in millions,
2026-27,Jul,Mandate Execution,IDFC First Bank,Approved,26.08,value in percentage,
2026-27,Jul,Mandate Execution,IDFC First Bank,BD,73.65,value in percentage,
2026-27,Jul,Mandate Execution,IDFC First Bank,TD,0.26,value in percentage,
2026-27,Jul,Mandate Execution,AU Small Finance Bank,Total Volume,12.170163,value in millions,
2026-27,Jul,Mandate Execution,AU Small Finance Bank,Approved,18.47,value in percentage,
2026-27,Jul,Mandate Execution,AU Small Finance Bank,BD,80.61,value in percentage,
2026-27,Jul,Mandate Execution,AU Small Finance Bank,TD,0.91,value in percentage,
2026-27,Jul,Mandate Execution,YES Bank,Total Volume,11.812348,value in millions,
2026-27,Jul,Mandate Execution,YES Bank,Approved,21.59,value in percentage,
2026-27,Jul,Mandate Execution,YES Bank,BD,76.87,value in percentage,
2026-27,Jul,Mandate Execution,YES Bank,TD,1.54,value in percentage,
2026-27,Jul,Mandate Execution,Punjab and Sind Bank,Total Volume,9.213958,value in millions,
2026-27,Jul,Mandate Execution,Punjab and Sind Bank,Approved,19.48,value in percentage,
2026-27,Jul,Mandate Execution,Punjab and Sind Bank,BD,79,value in percentage,
2026-27,Jul,Mandate Execution,Punjab and Sind Bank,TD,1.52,value in percentage,
2026-27,Jul,Mandate Execution,Rajasthan Gramin Bank,Total Volume,9.177015,value in millions,
2026-27,Jul,Mandate Execution,Rajasthan Gramin Bank,Approved,15.69,value in percentage,
2026-27,Jul,Mandate Execution,Rajasthan Gramin Bank,BD,74.92,value in percentage,
2026-27,Jul,Mandate Execution,Rajasthan Gramin Bank,TD,9.39,value in percentage,
2026-27,Jul,Mandate Execution,Jammu and Kashmir Bank,Total Volume,8.423263,value in millions,
2026-27,Jul,Mandate Execution,Jammu and Kashmir Bank,Approved,25.22,value in percentage,
2026-27,Jul,Mandate Execution,Jammu and Kashmir Bank,BD,74.03,value in percentage,
2026-27,Jul,Mandate Execution,Jammu and Kashmir Bank,TD,0.75,value in percentage,
2026-27,Jul,Mandate Execution,Ujjivan Small Finance Bank,Total Volume,8.308706,value in millions,
2026-27,Jul,Mandate Execution,Ujjivan Small Finance Bank,Approved,17.16,value in percentage,
2026-27,Jul,Mandate Execution,Ujjivan Small Finance Bank,BD,82.39,value in percentage,
2026-27,Jul,Mandate Execution,Ujjivan Small Finance Bank,TD,0.45,value in percentage,
2026-27,Jul,Mandate Execution,Karur Vysya Bank,Total Volume,7.903266,value in millions,
2026-27,Jul,Mandate Execution,Karur Vysya Bank,Approved,30.48,value in percentage,
2026-27,Jul,Mandate Execution,Karur Vysya Bank,BD,68.91,value in percentage,
2026-27,Jul,Mandate Execution,Karur Vysya Bank,TD,0.61,value in percentage,
2026-27,Jul,Mandate Execution,Karnataka Grameena Bank,Total Volume,6.817244,value in millions,
2026-27,Jul,Mandate Execution,Karnataka Grameena Bank,Approved,21.81,value in percentage,
2026-27,Jul,Mandate Execution,Karnataka Grameena Bank,BD,76.02,value in percentage,
2026-27,Jul,Mandate Execution,Karnataka Grameena Bank,TD,2.17,value in percentage,
2026-27,Jul,Mandate Execution,South Indian Bank,Total Volume,5.032048,value in millions,
2026-27,Jul,Mandate Execution,South Indian Bank,Approved,34.89,value in percentage,
2026-27,Jul,Mandate Execution,South Indian Bank,BD,64.73,value in percentage,
2026-27,Jul,Mandate Execution,South Indian Bank,TD,0.38,value in percentage,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,Total Volume,4.898344,value in millions,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,Approved,20.34,value in percentage,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,BD,79.46,value in percentage,
2026-27,Jul,Mandate Execution,Slice Small Finance Bank,TD,0.2,value in percentage,
2026-27,Jul,Mandate Execution,Uttar Pradesh Gramin Bank,Total Volume,4.853224,value in millions,
2026-27,Jul,Mandate Execution,Uttar Pradesh Gramin Bank,Approved,18.07,value in percentage,
2026-27,Jul,Mandate Execution,Uttar Pradesh Gramin Bank,BD,79.58,value in percentage,
2026-27,Jul,Mandate Execution,Uttar Pradesh Gramin Bank,TD,2.34,value in percentage,
2026-27,Jul,Mandate Execution,Maharashtra Gramin Bank,Total Volume,4.786884,value in millions,
2026-27,Jul,Mandate Execution,Maharashtra Gramin Bank,Approved,14.42,value in percentage,
2026-27,Jul,Mandate Execution,Maharashtra Gramin Bank,BD,80.63,value in percentage,
2026-27,Jul,Mandate Execution,Maharashtra Gramin Bank,TD,4.95,value in percentage,
2026-27,Jul,Mandate Execution,City Union Bank,Total Volume,4.662568,value in millions,
2026-27,Jul,Mandate Execution,City Union Bank,Approved,26.98,value in percentage,
2026-27,Jul,Mandate Execution,City Union Bank,BD,71.32,value in percentage,
2026-27,Jul,Mandate Execution,City Union Bank,TD,1.7,value in percentage,
2026-27,Jul,Mandate Execution,Andhra Pradesh Grameena Bank,Total Volume,4.59663,value in millions,
2026-27,Jul,Mandate Execution,Andhra Pradesh Grameena Bank,Approved,20.15,value in percentage,
2026-27,Jul,Mandate Execution,Andhra Pradesh Grameena Bank,BD,79.67,value in percentage,
2026-27,Jul,Mandate Execution,Andhra Pradesh Grameena Bank,TD,0.18,value in percentage,
2026-27,Jul,Mandate Execution,Tamilnad Mercantile Bank,Total Volume,4.392536,value in millions,
2026-27,Jul,Mandate Execution,Tamilnad Mercantile Bank,Approved,28.71,value in percentage,
2026-27,Jul,Mandate Execution,Tamilnad Mercantile Bank,BD,70.48,value in percentage,
2026-27,Jul,Mandate Execution,Tamilnad Mercantile Bank,TD,0.8,value in percentage,
2026-27,Jul,Mandate Execution,Telangana Grameena Bank,Total Volume,3.607685,value in millions,
2026-27,Jul,Mandate Execution,Telangana Grameena Bank,Approved,18.19,value in percentage,
2026-27,Jul,Mandate Execution,Telangana Grameena Bank,BD,77.47,value in percentage,
2026-27,Jul,Mandate Execution,Telangana Grameena Bank,TD,4.34,value in percentage,
2026-27,Jul,Mandate Execution,Kerala Gramin Bank,Total Volume,3.40868,value in millions,
2026-27,Jul,Mandate Execution,Kerala Gramin Bank,Approved,25.35,value in percentage,
2026-27,Jul,Mandate Execution,Kerala Gramin Bank,BD,73.74,value in percentage,
2026-27,Jul,Mandate Execution,Kerala Gramin Bank,TD,0.9,value in percentage,
2026-27,Jul,Mandate Execution,Equitas Small Finance Bank,Total Volume,3.17194,value in millions,
2026-27,Jul,Mandate Execution,Equitas Small Finance Bank,Approved,21.14,value in percentage,
2026-27,Jul,Mandate Execution,Equitas Small Finance Bank,BD,76.87,value in percentage,
2026-27,Jul,Mandate Execution,Equitas Small Finance Bank,TD,1.98,value in percentage,
2026-27,Jul,Mandate Execution,DBS Bank India,Total Volume,2.984448,value in millions,
2026-27,Jul,Mandate Execution,DBS Bank India,Approved,24.71,value in percentage,
2026-27,Jul,Mandate Execution,DBS Bank India,BD,74.46,value in percentage,
2026-27,Jul,Mandate Execution,DBS Bank India,TD,0.83,value in percentage,
2026-27,Jul,Mandate Execution,Bandhan Bank,Total Volume,2.901779,value in millions,
2026-27,Jul,Mandate Execution,Bandhan Bank,Approved,33.53,value in percentage,
2026-27,Jul,Mandate Execution,Bandhan Bank,BD,64.28,value in percentage,
2026-27,Jul,Mandate Execution,Bandhan Bank,TD,2.19,value in percentage,
2026-27,Jul,Mandate Execution,RBL Bank,Total Volume,2.569674,value in millions,
2026-27,Jul,Mandate Execution,RBL Bank,Approved,16.5,value in percentage,
2026-27,Jul,Mandate Execution,RBL Bank,BD,82.41,value in percentage,
2026-27,Jul,Mandate Execution,RBL Bank,TD,1.1,value in percentage,
2026-27,Jul,Mandate Execution,Saraswat Co-operative Bank,Total Volume,2.419,value in millions,
2026-27,Jul,Mandate Execution,Saraswat Co-operative Bank,Approved,34.08,value in percentage,
2026-27,Jul,Mandate Execution,Saraswat Co-operative Bank,BD,64.8,value in percentage,
2026-27,Jul,Mandate Execution,Saraswat Co-operative Bank,TD,1.12,value in percentage,
2026-27,Jul,Mandate Execution,Haryana Gramin Bank,Total Volume,2.398656,value in millions,
2026-27,Jul,Mandate Execution,Haryana Gramin Bank,Approved,15.21,value in percentage,
2026-27,Jul,Mandate Execution,Haryana Gramin Bank,BD,84.36,value in percentage,
2026-27,Jul,Mandate Execution,Haryana Gramin Bank,TD,0.43,value in percentage,
2026-27,Jul,Mandate Execution,Jana Small Finance Bank,Total Volume,2.281359,value in millions,
2026-27,Jul,Mandate Execution,Jana Small Finance Bank,Approved,11.04,value in percentage,
2026-27,Jul,Mandate Execution,Jana Small Finance Bank,BD,88.19,value in percentage,
2026-27,Jul,Mandate Execution,Jana Small Finance Bank,TD,0.77,value in percentage,
2026-27,Jul,Mandate Execution,Chhattisgarh Rajya Gramin Bank,Total Volume,2.209669,value in millions,
2026-27,Jul,Mandate Execution,Chhattisgarh Rajya Gramin Bank,Approved,12.51,value in percentage,
2026-27,Jul,Mandate Execution,Chhattisgarh Rajya Gramin Bank,BD,83.26,value in percentage,
2026-27,Jul,Mandate Execution,Chhattisgarh Rajya Gramin Bank,TD,4.23,value in percentage,
